,Transaction_ID,Date,Customer_ID,Age,Gender,Income,Loyalty_Score,Signup_Date,Product_ID,Category,City,Channel,Payment_Method,Device,Price,Discount_Percent,Promotion_Flag,Promo_Type,Units_Sold,Revenue,Cost,Profit,Margin_Percent,Return_Flag,Supplier_ID,Lead_Time_Days,Delivery_Delay_Days,Stock_On_Hand,Marketing_Channel,Coupon_Code_Flag,CLV_proxy,Recency_Days,Frequency_12m,Online_Device,Season,GMV,Discount_Amount,Net_Revenue,Profit_Margin,Phone_No
0,T200521,2024-08-01,C1276,37,M,61679,1,2022-08-21,P104,Apparel,Pune,Online,UPI,Desktop,61.69,20,1,Flash,18,888.34,499.69,388.65,43.75,0,S11,7,3,21,PaidSocial,1,172.72,134,2,Mobile,Regular,1110.42,222.08,888.34,43.75,8681838850
1,T200737,2025-06-15,C1315,33,M,78145,5,2021-10-12,P107,Beauty,Hyderabad,Online,Card,POS,20.21,10,1,Clearance,18,327.4,127.32,200.08,61.11,0,S11,10,0,38,SMS,0,427.1,115,7,Mobile,Summer,363.78,36.38,327.4,61.11,8681838850
2,T200740,2024-09-29,C1013,47,F,63138,5,2025-06-08,P100,Electronics,Mumbai,Offline,UPI,POS,474.76,5,1,Loyalty,1,451.02,308.59,142.43,31.58,0,S11,4,0,17,Email,0,363.17,68,12,,Regular,474.76,23.74,451.02,31.58,8681838850
3,T200660,2024-07-13,C1411,42,F,51681,2,2024-04-28,P105,Apparel,Chennai,Offline,NetBanking,App,40.73,0,0,,11,448.03,201.61,246.42,55.0,0,S14,11,2,40,SMS,0,148.16,179,1,,Summer,448.03,0.0,448.03,55.0,8681838850
4,T200411,2025-09-20,C1481,30,F,22236,5,2023-03-01,P100,Electronics,Jaipur,Offline,UPI,POS,517.42,5,1,Flash,1,491.55,336.32,155.23,31.58,0,S10,10,0,21,Organic,1,162.92,135,2,,Regular,517.42,25.87,491.55,31.58,8681838850
5,T200678,2025-10-04,C1023,20,F,28853,2,2020-05-08,P107,Beauty,Delhi,Online,NetBanking,Desktop,19.52,10,1,Clearance,21,368.93,143.47,225.46,61.11,0,S13,2,4,31,Email,0,98.7,132,4,Mobile,Regular,409.92,40.99,368.93,61.11,8681838850
6,T200626,2024-09-29,C1458,44,F,19085,4,2020-07-06,P100,Electronics,Bengaluru,Online,Card,Desktop,508.82,10,1,Flash,1,457.94,330.73,127.21,27.78,0,S14,4,2,20,Email,0,127.22,21,9,App,Regular,508.82,50.88,457.94,27.78,8681838850
7,T200513,2025-07-21,C1385,42,F,12336,5,2023-04-25,P100,Electronics,Mumbai,Online,UPI,Mobile,519.91,0,0,,1,519.91,337.94,181.97,35.0,0,S12,7,1,23,Affiliate,0,113.67,69,12,Mobile,Summer,519.91,0.0,519.91,35.0,8681838850
8,T200859,2023-12-14,C1233,35,M,61162,1,2023-07-16,P106,Beauty,Bengaluru,Offline,Card,Desktop,24.45,5,1,Seasonal,20,464.55,171.15,293.4,63.16,0,S13,9,1,23,SMS,0,110.06,110,2,,Festival,489.0,24.45,464.55,63.16,8681838850
9,T200136,2024-11-09,C1375,27,F,35756,1,2025-07-14,P101,Electronics,Pune,Online,COD,App,297.48,20,1,,2,475.97,386.72,89.25,18.75,0,S13,5,0,7,PaidSocial,0,95.25,92,5,Desktop,Festival,594.96,118.99,475.97,18.75,8681838850
